C,gamma,max_iter,auc_score,train_time_sec
0.1,scale,1000,0.8319340005237665,3323.03257727623
1.0,scale,5000,0.831445074695387,3019.580860853195
1.0,scale,1000,0.8305343862483777,2423.5635421276093
10.0,scale,5000,0.8302196334010228,3097.3093378543854
0.1,scale,5000,0.8300630131667757,3595.7293655872345
10.0,scale,1000,0.8267885796911493,2448.3275628089905
1.0,0.01,5000,0.7960095831551915,9314.93139743805
0.1,0.01,5000,0.7941718033700991,7979.403205633163
1.0,0.01,1000,0.7889921898169,3640.581073284149
10.0,0.01,5000,0.7875737316531842,8481.713448286057
0.1,0.01,1000,0.7858207123020006,3411.919909954071
10.0,0.01,1000,0.783254149639179,4043.509456396103
