n_estimators,max_depth,learning_rate,subsample,colsample_bytree,auc_score,train_time_sec
600,4,0.01,0.8,0.8,0.8106941011431796,10.64703369140625
600,6,0.01,0.8,0.8,0.8105784549358088,14.616759538650513
600,8,0.01,0.8,0.8,0.8105035393587259,17.297234535217285
600,10,0.01,0.8,0.8,0.8103181789383368,20.25227379798889
600,6,0.01,1.0,0.8,0.8087635170324293,15.199049472808838
600,4,0.01,0.8,1.0,0.8086563616414365,11.440709352493286
600,4,0.01,1.0,0.8,0.8085967797046373,10.930565595626831
600,10,0.01,1.0,0.8,0.8084799502512601,21.16605305671692
600,8,0.01,1.0,0.8,0.8083820489364628,18.877895832061768
100,4,0.05,0.8,0.8,0.8083098443475709,3.860034465789795
100,10,0.05,0.8,0.8,0.8082446138881859,5.091067790985107
600,6,0.01,1.0,1.0,0.808242492000777,15.827676773071289
800,4,0.01,0.8,0.8,0.808234350424749,13.075044393539429
600,6,0.01,0.8,1.0,0.8082025692948331,15.225244760513306
600,10,0.01,0.8,1.0,0.8081643421229127,19.64648747444153
100,8,0.05,0.8,0.8,0.8081582194887864,4.3317108154296875
800,6,0.01,0.8,0.8,0.808136096455582,17.889865398406982
800,8,0.01,0.8,0.8,0.8080222864942813,20.242671728134155
600,4,0.01,1.0,1.0,0.8079888170172389,11.218024492263794
600,8,0.01,0.8,1.0,0.8079601467166955,17.70938777923584
800,10,0.01,0.8,0.8,0.8077181226749545,26.991527795791626
100,6,0.05,0.8,0.8,0.807504651737466,4.497648239135742
600,8,0.01,1.0,1.0,0.8074802914031648,19.590612173080444
1000,6,0.01,0.8,0.8,0.8071335764520486,19.999110221862793
1000,8,0.01,0.8,0.8,0.8070176635143623,22.785433053970337
800,6,0.01,1.0,0.8,0.8068471877128548,18.215773105621338
100,10,0.05,0.8,1.0,0.8068414005201181,5.193231821060181
1000,4,0.01,0.8,0.8,0.8068402690663917,15.017849922180176
1000,10,0.01,0.8,0.8,0.8067556272711495,23.23881220817566
100,8,0.05,0.8,1.0,0.8067509893958053,4.672216892242432
600,10,0.01,1.0,1.0,0.8067260526477675,22.023924589157104
800,4,0.01,0.8,1.0,0.8066903078851941,13.864148139953613
800,4,0.01,1.0,0.8,0.8064825082032714,13.111662149429321
800,4,0.01,1.0,1.0,0.8062296472127203,14.016565084457397
100,6,0.05,0.8,1.0,0.806193950196476,4.633604049682617
800,10,0.01,1.0,0.8,0.8061607823014283,27.477288484573364
800,10,0.01,0.8,1.0,0.806148247925469,25.951632022857666
800,6,0.01,0.8,1.0,0.8060908218913657,18.444554567337036
800,8,0.01,1.0,0.8,0.806083485238122,28.7497878074646
800,6,0.01,1.0,1.0,0.8059245543502753,19.236433029174805
800,8,0.01,0.8,1.0,0.8058995765588253,24.007649660110474
